title,knowledge,source
Какие документы доступны пользователям с привязанным бизнесом?,"Пользователям, у которых привязан бизнес, доступны все шаблоны документов в сервисе.",
Какие документы доступны пользователям без бизнеса?,"Пользователям, у которых отсутствует бизнес, доступна только часть шаблонов документов.",
Какой шаг нужно сделать для запуска конструктора документов?,Для создания документа по имеющемуся шаблону нужно перейти в блок «Конструктор документов» в личном кабинете и нажать на кнопку «Перейти в конструктор».,
Где находится сервис «Конструктор документов»?,Сервис «Конструктор документов» находится в личном кабинете пользователя.,
Как выбрать нужный шаблон в сервисе?,"После перехода на страницу сервиса «Конструктор документов», в блоке «Документы» нужно выбрать необходимую категорию и нужный шаблон.",
Как завершить создание документа?,После заполнения всех полей необходимо нажать на кнопку «Создать документ».,
Какие действия необходимы для создания документа?,"Для создания документа нужно перейти в «Конструктор документов», выбрать категорию и шаблон, заполнить поля и нажать на кнопку «Создать документ».",
"Что делать, если нужно создать документ?","Чтобы создать документ, нужно перейти в блок «Конструктор документов», выбрать шаблон и заполнить все необходимые поля.",
Какие данные нужны для создания документа?,"Для создания документа необходимо заполнить все поля, предусмотренные выбранным шаблоном.",
Как заполнить шаблон документа на Цифровой платформе?,"Для этого нужно заполнить шаблон своими данными на Цифровой платформе, где данные о предприятии заполнятся из Вашего профиля, но это можно изменить.",
Как скачать шаблон документа?,"Скачивание доступно в формате Word, для этого нужно нажать на кнопку «Скачать» в правой части экрана и выбрать формат Word.",
Можно ли изменить данные о предприятии в шаблоне?,"Да, данные о предприятии, которые заполняются из Вашего профиля, можно изменить.",
Какие правки можно вносить в скачанный документ?,Вы можете внести в скачанный документ любую правку.,
"Где находятся шаблоны документов, которые можно редактировать?","Шаблоны документов, которые можно редактировать, находятся в блоке «Мои документы» на главной странице сервиса.",
Какой формат доступен для скачивания шаблона?,Для скачивания шаблона доступен формат Word.,
"Можно ли редактировать шаблоны, находящиеся в блоке «Мои документы»?","Да, вы можете редактировать шаблоны документов, которые находятся в блоке «Мои документы» на главной странице сервиса.",
Как получить доступ к шаблону документа?,Для получения доступа к шаблону нужно заполнить его своими данными на Цифровой платформе.,
Какие действия можно выполнить с документом после его скачивания?,После скачивания документа вы можете внести в него любую правку.,
Где расположена кнопка для скачивания шаблона?,Кнопка «Скачать» расположена в правой части экрана на Цифровой платформе.,
Какие действия необходимо выполнить в блоке 'Выбор кредитного продукта'?,"В блоке 'Выбор кредитного продукта' необходимо выбрать сумму кредита, срок кредита, налоговый режим, тариф(-ы) и нажать кнопку 'Подобрать' для перехода к следующему шагу.",
Как можно выбрать сумму кредита и срок кредита?,"Сумму кредита и срок кредита можно выбрать, вводя значения в поля или перемещая слайдер, расположенный под полем ввода данных.",
"Что происходит, если ввести сумму кредита или срок, не соответствующие условиям?","Если ввести значение, отличное от условий, оно сбрасывается на минимальное или максимальное, установленное для выбранной выборки.",
Что такое налоговый режим и как его выбрать?,"Налоговый режим — это параметр, который нужно выбрать из выпадающего списка в блоке 'Выбор кредитного продукта'.",
Что влияет на выбор тарифов?,"Выбор тарифов происходит в соответствии с выбранными суммой кредита, сроком, налоговым режимом и отображается с признаком упрощенного заполнения анкеты при наличии минимальных требований к документам.",
Как происходит проверка данных в анкете?,На странице проверки данных сервис выводит информацию о компании из Цифрового профиля пользователя и позволяет проверить данные в режиме просмотра.,
Можно ли редактировать данные в анкете?,"Да, при обнаружении незаполненных полей или ошибок можно перейти в режим редактирования и сохранить изменения.",
Какие данные недоступны для редактирования?,Поля с данными из доверенных источников выделены и недоступны для редактирования.,
Что происходит при нажатии на кнопку «Подписать электронной подписью»?,При нажатии на кнопку «Подписать электронной подписью» происходит поочередное подписание каждого загруженного документа.,
Как получить информацию о статусе заявки на кредит?,"Для получения информации о статусе заявки необходимо перейти в раздел «Мои заявки» или на детальную страницу заявки, нажав соответствующую кнопку.",
Как перейти к детальной странице заявки?,"Для перехода к детальной странице заявки необходимо нажать на иконку профиля в верхней панели, перейти к разделу «Мои заявки», выбрать необходимую заявку и нажать на кнопку «Перейти к заявке».",
"Что делать, если банк запросил дополнительную информацию по заявке?","Если банк запросил дополнительную информацию, необходимо приложить запрашиваемые документы в соответствующем блоке, подписать приложенные документы, нажав кнопку «Подписать», и отправить запрашиваемые документы.",
Может ли банк запросить дополнительную информацию по любым документам?,"Банк может запросить дополнительную информацию только по документам, отправленным пользователем ранее.",
"Что происходит, если закрыть окно с неотправленными документами?","Если закрыть окно с неотправленными документами, на экране отображается окно с подтверждением закрытия страницы. Для того, чтобы покинуть страницу, необходимо нажать на кнопку «Продолжить».",
Как меняется статус заявки после подписания и отправки документов?,После подписания и отправки документов статус заявки меняется на «На рассмотрении».,
"Что делать, если банк отклонил заявку?","Если банк принял отрицательное решение по заявке (статус заявки меняется на «Отклонена»), есть возможность подать новую заявку на детальной странице заявки, нажав на кнопку «Новая заявка».",
"Что можно сделать, если банк одобрил заявку?","Если банк принял положительное решение по заявке (статус заявки меняется на «Одобрена»), есть возможность получить кредит в выбранном банке, обратившись в кредитную организацию.",
Может ли банк отправить несколько дополнительных запросов по заявке?,"Да, банк может отправлять несколько дополнительных запросов по заявке.",
Как называется статус заявки после отправки документов?,После подписания и отправки документов статус заявки меняется на «На рассмотрении».,
"Как получить кредит, если заявка одобрена?","Если заявка одобрена, можно получить кредит в выбранном банке, обратившись в кредитную организацию.",
Как получить кредит через Цифровую платформу МСП?,"Чтобы получить кредит через Цифровую платформу МСП, необходимо перейти по ссылке на платформу, заполнить заявку онлайн и проверить комплект документов и заявку.",
Какие шаги включает процесс получения кредита на Цифровой платформе МСП?,"Процесс включает заполнение заявки онлайн, проверку документов, подписание электронной подписью, получение предложений от банков и выбор подходящего предложения.",
Можно ли использовать электронную подпись для подачи заявки на кредит?,"Да, если у вас уже есть электронная подпись юр. лица, вы можете ею воспользоваться. Если нет, можно воспользоваться сервисом получения электронной подписи.",
Где можно получить персональные предложения от банков?,"Персональные предложения от банков будут доступны в Личном кабинете и в электронной почте, указанной при регистрации.",
Можно ли получить предложения от нескольких банков одновременно?,"Да, вы можете получить предложения сразу от нескольких банков в рамках одной заявки.",
Что делать после выбора лучшего предложения от банка?,"После выбора предложения вы можете перейти по ссылке предложения или дождаться звонка сотрудника банка, который расскажет о дальнейших действиях.",
Требуется ли личное посещение банка при получении кредита?,"Да, требуется посещение офиса выбранного банка для идентификации личности и подписания договора, что является требованием Центрального Банка России.",
Какие документы нужно проверить перед подачей заявки на кредит?,Перед подачей заявки нужно проверить сформированный комплект документов и заявку.,
Что происходит после подачи заявки на кредит?,"После подачи заявки вы получите персональные предложения от банков, которые будут доступны в Личном кабинете и в электронной почте.",
Как узнать о дальнейших действиях после выбора предложения банка?,"Вы можете либо перейти по ссылке предложения, либо дождаться звонка сотрудника банка, который сообщит о дальнейших шагах.",
Кто может воспользоваться сервисом «Инновационному бизнесу: льготные кредиты»?,"Сервис доступен только для авторизованных пользователей, у которых есть учетная запись юридического лица.",
Что происходит с неавторизованным пользователем при переходе к сервису?,"При переходе неавторизованных пользователей производится авторизация в ЕСИА, и проверяется наличие у них учетной записи юридического лица.",
"Что происходит, если у пользователя нет учетной записи юридического лица?","Пользователь перенаправляется на страницу с перечнем сервисов, где будет отображаться сообщение о том, что выбранный сервис доступен только для юридических лиц.",
Как подать заявку на льготный кредит?,Для подачи заявки необходимо нажать на кнопку «Подать заявку» на баннере в личном кабинете.,
Что содержит страница после нажатия на кнопку «Подать заявку»?,"Страница содержит наименование продукта, наименование банка, основную информацию о продукте, цель кредитования, процентную ставку, сумму кредита, срок кредита, описание условий и поля для заполнения.",
Какие данные нужно заполнить при подаче заявки?,"Пользователю необходимо заполнить данные о компании, проверить корректность автоматически заполненных полей, заполнить персональные данные, которые не были автоматически заполнены, и ответить на вопросы в анкете.",
Какие согласия необходимы для отправки заявки?,"Необходимо установить флажок «Я подтверждаю, что все данные в анкете верны» и флажок «Я даю согласие на обработку персональных данных МСП Банку».",
Что происходит после успешной отправки заявки?,"Пользователю открывается страница с уведомлением об успешной отправке заявки, инструкцией по дальнейшим действиям и кнопками для перехода в личный кабинет или в раздел «Мои заявки».",
Как узнать о регистрации новой заявки в личном кабинете?,В области уведомлений в личном кабинете будет отображено новое уведомление о регистрации заявки с возможностью перехода к ней.,
Можно ли отправить заявку без заполнения всех полей?,"Нет, отправка заявки невозможна, пока не заполнены все поля данных анкеты и не предоставлены согласия на обработку персональных данных.",
Какие условия предоставляет сервис «Льготный лизинг»?,"Сервис предоставляет возможность получения оборудования в лизинг на льготных условиях по программе, реализуемой региональными лизинговыми компаниями АО «Корпорация «МСП».",
Кто может использовать сервис «Льготный лизинг»?,"Сервис доступен только авторизованным пользователям, прошедшим авторизацию через ЕСИА, с привязанным на ЦП МСП бизнесом.",
Как пройти авторизацию для использования сервиса?,Авторизация происходит через ЕСИА (Единую систему идентификации и аутентификации).,
Какие шаги необходимо выполнить для подачи заявки на лизинг?,Для подачи заявки необходимо перейти на метастраницу сервиса и нажать кнопку «Оформить заявку».,
Можно ли отправить несколько заявок в рамках сервиса?,"Нет, пользователь может отправить только одну заявку в рамках данного сервиса.",
Какие данные отображаются в сервисе при заполнении заявки?,"В сервисе отображаются данные компании из Цифрового профиля для проверки, доступные в режиме просмотра.",
Что происходит при наличии незаполненных полей в заявке?,"Пользователь может перейти в режим редактирования, внести изменения и сохранить их. Система проверяет обязательные поля и переводит блок в режим просмотра.",
Какие данные в заявке недоступны для редактирования?,Поля с данными из доверенных источников выделены и недоступны для редактирования.,
Как происходит подписание электронной подписью в сервисе?,При нажатии на кнопку «Подписать электронной подписью» происходит поочередное подписание каждого документа.,
"Что делать, если лизинговая компания запрашивает дополнительные документы?","Пользователь должен приложить запрашиваемые документы в соответствующем блоке, подписать и отправить их, нажав кнопку «Подписать и отправить».",
Что такое проект «МСП шьет»?,"Проект «МСП шьет» направлен на развитие и поддержку российских брендов-производителей одежды, обуви, аксессуаров и косметики.",
Какие направления поддержки предлагает проект «МСП шьет»?,"Проект «МСП шьет» предлагает сбыт продукции, финансовую поддержку, акселератор индустрии моды и красоты, а также кооперацию с другими брендами и крупными компаниями.",
Какие онлайн-площадки уже участвуют в проекте «МСП шьет»?,"В проекте уже участвуют онлайн-площадки: Авито, Мегамарт, Ozon, Профи.ру, Ярмарка Мастеров и Вконтакте.",
Когда проходил первый отбор в универмаг «ТЕЛЕГРАФ»?,"Первый отбор в универмаг «ТЕЛЕГРАФ» завершился, и пять компаний заключили договоры на реализацию продукции в универмаге.",
Когда планируется второй отбор в универмаг «ТЕЛЕГРАФ»?,Второй отбор в универмаг «ТЕЛЕГРАФ» планируется в апреле 2024 года.,
Какие документы необходимы для подачи заявки на участие в проекте?,"Для подачи заявки компания должна находиться в Едином реестре субъектов МСП и вести деятельность в сфере производства одежды, обуви, аксессуаров, уходовой косметики и парфюмерии.",
Как подать заявку на участие в проекте «МСП шьет»?,"Заявку можно подать на странице проекта, нажав на кнопку «Подать заявку» после авторизации в Системе.",
"Что нужно сделать, если бизнес не отображается в личном кабинете?","Если бизнес не отображается, необходимо проверить, добавлен ли он на Госуслугах, а также ознакомиться с инструкцией «Регистрация и добавление бизнеса».",
Что включает в себя направление «МСП: Акселератор индустрии моды и красоты»?,"Направление включает помощь в упаковке продукта, настройке бизнес-процессов, операционной деятельности и каналах продаж.",
Какие данные будут автоматически перенесены из учетной записи на Госуслугах?,"Часть данных будет автоматически перенесена из учетной записи организации на Госуслугах, включая информацию о бизнесе и контактные данные.",
Как посмотреть список потребностей торговых сетей?,"Чтобы посмотреть список потребностей торговых сетей, необходимо перейти в функциональную часть «Попасть на полки торговых сетей» через главную страницу сервиса «Производственная кооперация и сбыт».",
Как отправить заявку на поставку продукции в торговую сеть?,"Чтобы отправить заявку на поставку продукции в торговую сеть, необходимо авторизоваться в Системе, перейти в раздел «Попасть на полки торговых сетей» и нажать кнопку «Отправить КП».",
Кто может отправить заявку на поставку?,"Заявку на поставку могут отправить авторизованные пользователи Системы, бизнес которых включен в реестр субъектов МСП.",
Как перейти на страницу «Попасть на полки торговых сетей»?,"Чтобы перейти на страницу «Попасть на полки торговых сетей», авторизованный пользователь должен нажать на кнопку «Перейти в сервис» в блоке «Попасть на полки торговых сетей» на главной странице сервиса.",
Какие данные нужно заполнить для отправки заявки?,"Для отправки заявки необходимо заполнить данные по форме, включая информацию о компании, продуктах и условиях поставки.",
Что необходимо сделать перед отправкой заявки?,Перед отправкой заявки необходимо дать согласие на обработку и отправку персональных данных и заполнить все поля формы.,
Можно ли отправить заявку без заполнения всех полей?,"Нет, отправка заявки невозможна, пока не заполнены все поля формы и отсутствует согласие на обработку персональных данных.",
Как открыть карточку потребности торговой сети?,"Чтобы открыть карточку потребности торговой сети, необходимо выбрать карточку компании и нажать на кнопку «Подробнее».",
"Что делать, если не получается отправить заявку?","Если не получается отправить заявку, проверьте, заполнены ли все поля формы и предоставлено ли согласие на обработку персональных данных.",
Как узнать больше о потребностях торговой сети?,"Чтобы узнать больше о потребностях торговой сети, необходимо выбрать карточку компании и нажать на кнопку «Подробнее» на странице функциональной части «Попасть на полки торговых сетей». ",
Какие данные можно посмотреть в функциональной части «Стать поставщиком ритейлеров и производителей»?,В функциональной части можно посмотреть список потребностей производственных и торговых компаний в непродовольственных товарах и промышленной продукции.,
Как можно попасть на страницу функциональной части «Стать поставщиком ритейлеров и производителей»?,"Через главную страницу сервиса «Производственная кооперация и сбыт», нажав на кнопку «Перейти в сервис» в блоке «Стать поставщиком ритейлеров и производителей».",
Какие пользователи могут подать заявку на статус поставщика?,"Заявку могут подать авторизованные пользователи Системы, бизнес которых включен в реестр субъектов МСП.",
Как откликнуться на потребность ритейлеров и производителей?,Для отклика необходимо на странице функциональной части нажать кнопку «Откликнуться».,
Какие действия необходимы для отправки заявки?,Необходимо дать согласие на обработку персональных данных и нажать кнопку «Отправить заявку».,
"Что необходимо сделать, чтобы отправить заявку?",Заполнить все поля формы и дать согласие на обработку персональных данных.,
Какие товары включает функциональная часть «Стать поставщиком ритейлеров и производителей»?,Функциональная часть включает непродовольственные товары и промышленную продукцию.,
Как получить доступ к функциональной части «Стать поставщиком ритейлеров и производителей»?,"Доступ к функциональной части получают авторизованные пользователи Системы, бизнес которых включен в реестр субъектов МСП.",
Как просмотреть карточку потребности компании?,Для просмотра карточки потребности необходимо выбрать компанию и нажать на кнопку «Подробнее».,
"Что происходит, если не заполнены все поля формы и отсутствует согласие на обработку персональных данных?",Отправка заявки становится невозможной.,
Как можно получить доступ к функциональной части «Фермерский островок»?,"Авторизованный пользователь может перейти на страницу функциональной части «Фермерский островок» через главную страницу сервиса «Производственная кооперация и сбыт», нажав на кнопку «Перейти в сервис» в блоке «Принять участие в проекте «Фермерский островок»».",
Какие данные нужно заполнить при подаче заявки на роль поставщика проекта?,"При подаче заявки на роль поставщика проекта необходимо заполнить данные заявки, дать согласие на обработку персональных данных и нажать на кнопку «Отправить заявку».",
Как подать заявку на роль оператора проекта «Фермерский островок»?,"Для подачи заявки на роль оператора проекта необходимо на странице функциональной части нажать на кнопку «Открыть свой «Фермерский островок» и заполнить данные заявки, дать согласие на обработку персональных данных, а затем нажать на кнопку «Отправить заявку».",
Что требуется для подачи заявки на участие в проекте «Фермерский островок»?,"Для подачи заявки на роль оператора или поставщика проекта необходимо, чтобы компания пользователя была зарегистрирована в Едином реестре субъектов МСП.",
Где можно найти возможность подать заявку на включение в реестр «Фермерского островка»?,Возможность подать заявку на включение в реестр доступна на странице функциональной части «Фермерский островок».,
"Можно ли подать заявку на участие в проекте, если не заполнены все поля формы?","Нет, отправка заявки невозможна, пока не заполнены все поля формы и отсутствует согласие на обработку персональных данных.",
Какие шаги нужно выполнить для отправки заявки на роль поставщика?,"Для отправки заявки на роль поставщика необходимо заполнить данные заявки, дать согласие на обработку персональных данных и нажать на кнопку «Отправить заявку».",
Как получить возможность участвовать в проекте «Фермерский островок»?,"Для участия необходимо подать заявку на роль поставщика или оператора проекта, а также убедиться, что компания пользователя зарегистрирована в Едином реестре субъектов МСП.",
В каком случае заявка на участие в проекте не будет отправлена?,"Заявка не будет отправлена, если не заполнены все поля формы или отсутствует согласие на обработку персональных данных.",
Где можно найти возможность предложить свою продукцию в проект «Фермерский островок»?,"Возможность предложить свою продукцию доступна на странице со списком потребностей, где нужно нажать на блок «Не нашли подходящие потребности? Предложите свою продукцию, оставив заявку».",
Можно ли зарегистрировать бизнес дистанционно?,"Да, зарегистрировать бизнес можно дистанционно, не посещая налоговые органы.",
Нужно ли посещать налоговые органы при онлайн-регистрации?,"Нет, регистрация бизнеса возможна без посещения налоговых органов.",
Можно ли подать заявку на регистрацию в любое время?,"Да, подать заявку на регистрацию можно в любое время.",
Требуется ли оплата государственной пошлины при онлайн-регистрации?,"Нет, оплата государственной пошлины не требуется.",
Какие документы нужны для регистрации ИП онлайн?,"Для регистрации ИП необходимы паспорт, СНИЛС и ИНН.",
Какие документы нужны для регистрации юридического лица онлайн?,"Для регистрации юридического лица необходимы паспорт учредителя, устав и решение об учреждении общества.",
Что такое ОКВЭД и как его выбрать?,"ОКВЭД — это классификатор видов экономической деятельности. Его нужно выбрать при регистрации, указав в заявлении не менее 4 цифровых знаков кода.",
Где можно пройти онлайн-регистрацию бизнеса?,"Онлайн-регистрацию можно пройти через портал госуслуг, сайт ФНС России, некоторые банки и Цифровую платформу МСП.РФ.",
Какие преимущества у регистрации на Цифровой платформе МСП.РФ?,"На платформе МСП.РФ есть пошаговая инструкция, возможность отслеживать статус процедуры онлайн и получение электронных документов после регистрации.",
Как получают электронные документы при успешной регистрации?,"После регистрации заявитель получает электронные документы на указанный адрес электронной почты: о постановке на учет, о внесении записи в ЕГРЮЛ или ЕГРИП, а также учредительный документ с отметкой регистрирующего органа.",
Что такое Система быстрых платежей (СБП)?,"Система быстрых платежей (СБП) – это сервис Банка России, который позволяет выполнять мгновенные переводы по номеру телефона между банками-участниками, а также оплачивать товары и услуги с помощью мобильных приложений банков-участников и приложения СБПэй.",
Какие преимущества у СБП для бизнеса?,"СБП предлагает низкие комиссии для бизнеса (до 0,7%), мгновенные поступления средств на счет, удобные способы оплаты (QR, NFC, ссылки, кнопки), а также отсутствие необходимости в специальном оборудовании.",
Какая комиссия за использование СБП для бизнеса?,"Комиссия за использование СБП для бизнеса составляет от 0,2% до 0,7% в зависимости от типа бизнеса, что значительно ниже, чем традиционные способы безналичной оплаты.",
Для какого бизнеса подходит СБП?,"СБП подходит для любого вида бизнеса – как онлайн, так и офлайн, включая интернет-магазины, кафе, образовательные и медицинские учреждения, а также малый и средний бизнес.",
Как происходит оплата через СБП?,"Оплата через СБП может происходить с помощью QR-кода, NFC-таблички, ссылки или кнопки. Покупатель выбирает банк и подтверждает платеж в мобильном приложении, средства поступают мгновенно на счет продавца.",
Как подключить СБП для своего бизнеса?,"Подключение к СБП осуществляется в 3 шага: оставить заявку в банке-участнике, выбрать удобный способ установки сервиса и начать принимать платежи.",
Какие способы оплаты доступны в СБП?,"В СБП доступны оплаты через QR-код, NFC-табличку, ссылку на оплату и кнопку. Покупатели могут оплачивать товары и услуги без ввода полных реквизитов карты.",
Сколько банков участвует в СБП?,"В СБП участвуют более 180 банков, включая все крупнейшие банки России, что делает сервис доступным практически для всех клиентов.",
Какие акции проводятся в СБП?,"СБП регулярно проводит промоакции с кешбэком и скидками, повышая привлекательность этого способа оплаты для покупателей.",
Какие преимущества СБП для клиентов?,"Для клиентов СБП предлагает удобство, безопасность и скорость оплаты, а также возможность оплачивать товары и услуги без ввода реквизитов карт, что повышает уровень конверсии.",
Что такое субъекты малого и среднего предпринимательства (МСП)?,"Субъектами малого и среднего предпринимательства (МСП) считаются предприятия и индивидуальные предприниматели, соответствующие определенным критериям. Они автоматически включаются в единый реестр субъектов МСП, что позволяет им пользоваться мерами господдержки и льготами.",
